h,pos1y(2h),{col}(h),{col}(h/2),ordem
3.1250e-02,6.1181e+00,1.8986e-01,3.1083e-01,5.6149e+00
1.5630e-02,1.8986e-01,3.1083e-01,3.1429e-01,5.1272e+00
7.8100e-03,3.1083e-01,3.1429e-01,3.1442e-01,4.7231e+00
3.9100e-03,3.1429e-01,3.1442e-01,3.1442e-01,4.5909e+00
