h,pos2y(2h),{col}(h),{col}(h/2),ordem
3.1250e-02,-8.0006e+00,-1.0098e+00,-1.0761e+00,6.7216e+00
1.5630e-02,-1.0098e+00,-1.0761e+00,-1.0779e+00,5.1922e+00
7.8100e-03,-1.0761e+00,-1.0779e+00,-1.0779e+00,4.7313e+00
3.9100e-03,-1.0779e+00,-1.0779e+00,-1.0779e+00,4.6017e+00
