h,pos1x(2h),{col}(h),{col}(h/2),ordem
3.1250e-02,-7.9874e+00,7.8274e-01,6.4587e-01,6.0017e+00
1.5630e-02,7.8274e-01,6.4587e-01,6.4002e-01,4.5492e+00
7.8100e-03,6.4587e-01,6.4002e-01,6.3979e-01,4.6863e+00
3.9100e-03,6.4002e-01,6.3979e-01,6.3978e-01,4.5725e+00
